ID: 1, PIN: 9249, Access Card ID: 765428, Fingerprint ID: 6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b, Division: Manufacturer, Start Time: 10, Finish Time: 14
ID: 2, PIN: 5250, Access Card ID: 776207, Fingerprint ID: d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35, Division: Sales, Start Time: 14, Finish Time: 18
ID: 3, PIN: 5921, Access Card ID: 804039, Fingerprint ID: 4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce, Division: Maintenance, Start Time: 18, Finish Time: 20
ID: 4, PIN: 6733, Access Card ID: 634394, Fingerprint ID: 4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a, Division: Maintenance, Start Time: 18, Finish Time: 20
ID: 5, PIN: 6318, Access Card ID: 398771, Fingerprint ID: ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d, Division: Manager, Start Time: 16, Finish Time: 20
ID: 6, PIN: 3277, Access Card ID: 406300, Fingerprint ID: e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683, Division: Manager, Start Time: 10, Finish Time: 14
ID: 7, PIN: 2349, Access Card ID: 355310, Fingerprint ID: 7902699be42c8a8e46fbbb4501726517e86b22c56a189f7625a6da49081b2451, Division: Manager, Start Time: 16, Finish Time: 20
ID: 8, PIN: 7805, Access Card ID: 232212, Fingerprint ID: 2c624232cdd221771294dfbb310aca000a0df6ac8b66b696d90ef06fdefb64a3, Division: Sales, Start Time: 8, Finish Time: 12
ID: 9, PIN: 3641, Access Card ID: 815180, Fingerprint ID: 19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7, Division: Manufacturer, Start Time: 10, Finish Time: 14
ID: 10, PIN: 4067, Access Card ID: 969654, Fingerprint ID: 4a44dc15364204a80fe80e9039455cc1608281820fe2b24f1e5233ade6af1dd5, Division: Manager, Start Time: 10, Finish Time: 14
ID: 11, PIN: 5956, Access Card ID: 952171, Fingerprint ID: 4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8, Division: Manager, Start Time: 16, Finish Time: 20
ID: 12, PIN: 6420, Access Card ID: 920824, Fingerprint ID: 6b51d431df5d7f141cbececcf79edf3dd861c3b4069f0b11661a3eefacbba918, Division: Maintenance, Start Time: 18, Finish Time: 20
ID: 13, PIN: 4667, Access Card ID: 255506, Fingerprint ID: 3fdba35f04dc8c462986c992bcf875546257113072a909c162f7e470e581e278, Division: Marketing, Start Time: 8, Finish Time: 12
ID: 14, PIN: 4358, Access Card ID: 640375, Fingerprint ID: 8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61, Division: Manufacturer, Start Time: 16, Finish Time: 20
ID: 15, PIN: 8438, Access Card ID: 543209, Fingerprint ID: e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb, Division: Marketing, Start Time: 8, Finish Time: 12
ID: 16, PIN: 9230, Access Card ID: 740022, Fingerprint ID: b17ef6d19c7a5b1ee83b907c595526dcb1eb06db8227d650d5dda0a9f4ce8cd9, Division: Manager, Start Time: 10, Finish Time: 14
ID: 17, PIN: 7466, Access Card ID: 899356, Fingerprint ID: 4523540f1504cd17100c4835e85b7eefd49911580f8efff0599a8f283be6b9e3, Division: Manufacturer, Start Time: 10, Finish Time: 14
ID: 18, PIN: 9249, Access Card ID: 513239, Fingerprint ID: 4ec9599fc203d176a301536c2e091a19bc852759b255bd6818810a42c5fed14a, Division: Marketing, Start Time: 8, Finish Time: 12
ID: 19, PIN: 9807, Access Card ID: 870839, Fingerprint ID: 9400f1b21cb527d7fa3d3eabba93557a18ebe7a2ca4e471cfe5e4c5b4ca7f767, Division: Manager, Start Time: 10, Finish Time: 14
ID: 20, PIN: 1159, Access Card ID: 577468, Fingerprint ID: f5ca38f748a1d6eaf726b8a42fb575c3c71f1864a8143301782de13da2d9202b, Division: Maintenance, Start Time: 18, Finish Time: 20
ID: 21, PIN: 7104, Access Card ID: 587346, Fingerprint ID: 6f4b6612125fb3a0daecd2799dfd6c9c299424fd920f9b308110a2c1fbd8f443, Division: Maintenance, Start Time: 18, Finish Time: 20
ID: 22, PIN: 7832, Access Card ID: 475944, Fingerprint ID: 785f3ec7eb32f30b90cd0fcf3657d388b5ff4297f2f9716ff66e9b69c05ddd09, Division: Maintenance, Start Time: 18, Finish Time: 20
ID: 23, PIN: 5551, Access Card ID: 353170, Fingerprint ID: 535fa30d7e25dd8a49f1536779734ec8286108d115da5045d77f3b4185d8f790, Division: Manufacturer, Start Time: 16, Finish Time: 20
ID: 24, PIN: 5439, Access Card ID: 299405, Fingerprint ID: c2356069e9d1e79ca924378153cfbbfb4d4416b1f99d41a2940bfdb66c5319db, Division: Marketing, Start Time: 8, Finish Time: 12
ID: 25, PIN: 9104, Access Card ID: 918066, Fingerprint ID: b7a56873cd771f2c446d369b649430b65a756ba278ff97ec81bb6f55b2e73569, Division: Manufacturer, Start Time: 10, Finish Time: 14
ID: 26, PIN: 6478, Access Card ID: 333319, Fingerprint ID: 5f9c4ab08cac7457e9111a30e4664920607ea2c115a1433d7be98e97e64244ca, Division: Maintenance, Start Time: 18, Finish Time: 20
ID: 27, PIN: 8368, Access Card ID: 219731, Fingerprint ID: 670671cd97404156226e507973f2ab8330d3022ca96e0c93bdbdb320c41adcaf, Division: Manufacturer, Start Time: 16, Finish Time: 20
ID: 28, PIN: 3487, Access Card ID: 651518, Fingerprint ID: 59e19706d51d39f66711c2653cd7eb1291c94d9b55eb14bda74ce4dc636d015a, Division: Manager, Start Time: 16, Finish Time: 20
ID: 29, PIN: 6090, Access Card ID: 158505, Fingerprint ID: 35135aaa6cc23891b40cb3f378c53a17a1127210ce60e125ccf03efcfdaec458, Division: Manager, Start Time: 16, Finish Time: 20
ID: 30, PIN: 1318, Access Card ID: 475422, Fingerprint ID: 624b60c58c9d8bfb6ff1886c2fd605d2adeb6ea4da576068201b6c6958ce93f4, Division: Maintenance, Start Time: 18, Finish Time: 20
ID: 31, PIN: 1385, Access Card ID: 141943, Fingerprint ID: eb1e33e8a81b697b75855af6bfcdbcbf7cbbde9f94962ceaec1ed8af21f5a50f, Division: Manufacturer, Start Time: 10, Finish Time: 14
ID: 32, PIN: 9131, Access Card ID: 291302, Fingerprint ID: e29c9c180c6279b0b02abd6a1801c7c04082cf486ec027aa13515e4f3884bb6b, Division: Maintenance, Start Time: 18, Finish Time: 20
ID: 33, PIN: 3635, Access Card ID: 420251, Fingerprint ID: c6f3ac57944a531490cd39902d0f777715fd005efac9a30622d5f5205e7f6894, Division: Manager, Start Time: 16, Finish Time: 20
ID: 34, PIN: 3373, Access Card ID: 538845, Fingerprint ID: 86e50149658661312a9e0b35558d84f6c6d3da797f552a9657fe0558ca40cdef, Division: Maintenance, Start Time: 18, Finish Time: 20
ID: 35, PIN: 7266, Access Card ID: 504383, Fingerprint ID: 9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953, Division: Manufacturer, Start Time: 16, Finish Time: 20
