Time: 8, Scan Access Card: 255506, Input PIN: 4667, Scan Fingerprint: 3fdba35f04dc8c462986c992bcf875546257113072a909c162f7e470e581e278, Room Area: Marketing
Time: 8, Scan Access Card: 765428, Input PIN: 9249, Scan Fingerprint: 4ec9599fc203d176a301536c2e091a19bc852759b255bd6818810a42c5fed14a, Room Area: Manufacturer
Time: 8, Scan Access Card: 255506, Input PIN: 4667, Scan Fingerprint: 3fdba35f04dc8c462986c992bcf875546257113072a909c162f7e470e581e278, Room Area: Marketing
Time: 8, Scan Access Card: 513239, Input PIN: 1534, Scan Fingerprint: null, Room Area: Marketing
Time: 8, Scan Access Card: 182093, Input PIN: 1534, Scan Fingerprint: 31489056e0916d59fe3add79e63f095af3ffb81604691f21cad442a85c7be617, Room Area: Marketing
Time: 8, Scan Access Card: 255506, Input PIN: 4667, Scan Fingerprint: 3fdba35f04dc8c462986c992bcf875546257113072a909c162f7e470e581e278, Room Area: Marketing
Time: 8, Scan Access Card: 255506, Input PIN: 4667, Scan Fingerprint: 3fdba35f04dc8c462986c992bcf875546257113072a909c162f7e470e581e278, Room Area: Marketing
Time: 8, Scan Access Card: 543209, Input PIN: 8438, Scan Fingerprint: e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb, Room Area: Marketing
Time: 8, Scan Access Card: 182093, Input PIN: 1534, Scan Fingerprint: 31489056e0916d59fe3add79e63f095af3ffb81604691f21cad442a85c7be617, Room Area: Marketing
Time: 9, Scan Access Card: 693402, Input PIN: 3205, Scan Fingerprint: 0b918943df0962bc7a1824c0555a389347b4febdc7cf9d1254406d80ce44e3f9, Room Area: Sales
Time: 9, Scan Access Card: 255506, Input PIN: 4667, Scan Fingerprint: 3fdba35f04dc8c462986c992bcf875546257113072a909c162f7e470e581e278, Room Area: Marketing
Time: 9, Scan Access Card: 815180, Input PIN: 4667, Scan Fingerprint: null, Room Area: Manufacturer
